Marca,SKU,Foto,Link site,Nome Marca,Nome Curadobia,Categoria,Sub-Categoria,Categoria Geral,Preço,Descrição do site,Grade,Tamanho do produto,Medidas,"Observação sobre Modelagem/Caimento (ex: reto, acinturado, oversized).",Tipo de tecido/material principal,Forro (sim/não),"Nível de transparência (ex: leve, média, zero).","Instruções de cuidado (ex: passa fácil, não amassa, pode lavar na máquina,  peça cede com uso; tecido com elastano).",Cor,"Tags de cores (ex: cor que alonga, combina com tudo)","Sazonalidade sugerida (ex: ideal para meia-estação, vai bem no verão com top por baixo).","Sugestões de tamanho por tipo de corpo  (ex: ideal para ombros largos, quadril estreito)",Ocasião Principal,Ocasião secundária,Ocasião ,Tempo médio de reposição.,Prazo médio de envio SEDEX para Sul e Sudeste,Prazo médio de envio PAC para Sul e Sudeste,Tipo de Frete,Tamanhos_Disponíveis,Grade_Completo,Medidas_Por_Tamanho
Tata Knitwear,5448,,https://www.curadobia.com.br/tata/produto/tricot-animador,Blusa Amor Gola Alta,TRICOT ANIMADOR ,BLUSA TRICOT MANGA LONGA,BLUSA,Parte de Cima,698,"Suéter que é a escolha perfeita para quem busca um estilo atemporal e cheio de conforto. Com seu design sofisticado no estilo easy chic, ela combina praticidade e elegância de maneira única.",PP / P / M / G,M,"M – Busto: 92–96cm, Cintura: 74–78cm, Quadril: 100–104cm",,50% Viscose 28% Poliéster 22% Poliamida,nan,nan,nan,Vermelho,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P / PP,PP / P / M / G,"M: M – Busto: 92–96cm, Cintura: 74–78cm, Quadril: 100–104cm | PP: PP – Busto: 84–88cm, Cintura: 66–70cm, Quadril: 92–96cm | P: P – Busto: 88–92cm, Cintura: 70–74cm, Quadril: 96–100cm | G: G – Busto: 92–100cm, Cintura: 78–82cm, Quadril: 104–108cm"
Angela Motta,AM02601,,https://www.curadobia.com.br/angela-motta/produto/camiseta-wow,Camiseta Stellinha Pima,CAMISETA WOW,CAMISETA,CAMISETA,Parte de Cima,494,Camiseta manga em tricoline confeccionada em malha algodão PIMA. Modelo que cria um efeito surpresa para esse básico mas ainda assim se mantem muito fácil de usar. A assimetria de uma das mangas de tricoline faz as vezes de um acessório. Desses modelos que dispensam colares ou brincos muito importantes. ,P / M / G,P,"P – Busto: 94cm, Cintura: 92cm, Comprimento: 60cm",,96% algodão pima ( a versão mais delicia que existe)  e 4% elastano,nan,nan,nan,Branco,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P,P / M / G,"P: P – Busto: 94cm, Cintura: 92cm, Comprimento: 60cm | M: M – Busto: 98cm, Cintura: 96cm, Comprimento: 62cm | G: G – Busto: 102cm, Cintura: 100cm, Comprimento: 64cm"
Angela Motta,AM02602,,https://www.curadobia.com.br/angela-motta/produto/SAIA-ALONGADORA,Saia Rey Neoprene,SAIA ALONGADORA,SAIA,SAIA,Parte de Baixo,1250,"Saia longa confeccionada em malha block ( tecido encorpado que lembra um neoprene). Ótima para levar em viagens porque não amassa e resolve aquela roupa mais arrumadona. Tem um impacto visual bacana, mas ainda assim pode ser usada com tênis e tricô criando uma alternativa à calça preta tradicional. Sem falar que esse tipo de material não desbota e dura a vida toda. ",P / M / G,P,"P – Cintura: 66cm, Quadril: 88cm, Comprimento: 100cm",,76% poliamida ( tecido tecnológico que não marca e dura muuuuuito)  e 24% elastano ( para deixar confortável e fácil de vestir) ,nan,nan,nan,Preto,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P,P / M / G,"P: P – Cintura: 66cm, Quadril: 88cm, Comprimento: 100cm | M: M – Cintura: 70cm, Quadril: 92cm, Comprimento: 102cm | G: G – Cintura: 74cm, Quadril: 96cm, Comprimento: 104cm"
Angela Motta,AM02603,,https://www.curadobia.com.br/angela-motta/produto/saia-listrada,Saia Veste Martina Listradinho,SAIA ACINTURANTE,SAIA,SAIA,Parte de Baixo,998,"Por que está no CURADOBIA?

- Saia que vira vestido frente única ou tomara que caia;

- Amarração fácil de colocar na altura que a gente quiser;

- Tecido casual que transita bem de cidade para praia;

- Listras finas fáceis de combinar com cores ou outras estampas.",U,U,"U – Cintura: 92cm (ajustável), Comprimento: 102cm",,"66% algodão, 30% poliamida ( faz o algodão amassar menos) e 4% elastano ( facilita as amarrações)",nan,nan,nan,Listrado Branco e Azul,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,U,U,"U: U – Cintura: 92cm (ajustável), Comprimento: 102cm"
Angela Motta,AM02604,,https://www.curadobia.com.br/angela-motta/produto/vestido-fluidao,VESTIDO LEE CONSUELO,VESTIDO FLUIDÃO,VESTIDO,VESTIDO,Peça única,998,"Por que está no CURADOBIA?

- Tecido delicioso, fresco e não amassa;

- Ótimo para mala de viagem;

- Tamanho único;

- Cor que substitui o preto sem enjoar;

- Manga que esconde os braços ou pode ser usada como regata;

- Pode ser usado com sutiã de alça normal;

- Decote fácil de administrar.

",U,U,U - Comprimento: 135cm,,87% poliamida e 13% elastano ( malha fluity ) ,nan,nan,nan,Azul Marinho,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,U,U,U: U - Comprimento: 135cm
Angela Motta,AM02605,,https://www.curadobia.com.br/angela-motta/produto/macacao,MACACÃO TQC JULIANA,MACACÃO TÔ PRONTA,MACACÃO,MACACÃO,Peça única,998,"Por que está no CURADOBIA?

- Macacão jeitão de vestido pela sobreposição;

- Tecido delicioso, fresco e não amassa;

- Otimo para mala de viagem;

- Franzido que não faz volume no busto;

- Shape que funciona bem com ou sem cinto.",P / M,M,"M – Busto: 98cm, Quadril: 124cm, Comprimento: 122cm
",,87% poliamida e 13% elastano ( malha fluity ) ,nan,nan,nan,Preto,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,M / P,P / M,"M: M – Busto: 98cm, Quadril: 124cm, Comprimento: 122cm
 | P: P – Busto: 94cm, Quadril: 120cm, Comprimento: 121cm"
Angela Motta,AM02606,,https://www.curadobia.com.br/angela-motta/produto/camisa-consuelo-emana,CAMISA CONSUELO EMANA,CAMISA DE PRESENÇA,CAMISA,CAMISA,Parte de Cima,1286,Camisa ampla confeccionada em tecido tecnológico. Opção de amarrar na marra para fazer blusê ou usar aberta como terceira peça.,P / M,M,"M – Busto: 114cm, Cintura: 118cm, Comprimento: 77cm",,78% Poliamida 22% Elastano,nan,nan,nan,Preto,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,M / P,P / M,"M: M – Busto: 114cm, Cintura: 118cm, Comprimento: 77cm | P: P – Busto: 110cm, Cintura: 114cm, Comprimento: 75cm"
Angela Motta,AM02607,,https://www.curadobia.com.br/angela-motta/produto/regata-pregas-jersey,REGATA PREGAS JERSEY,BLUSA MOLONA,BLUSA REGATA,BLUSA,Parte de Cima,593,Regata confeccionada em malha jersey com pregas no decote e botão nas costas. Elástico na barra para fazer o balone.,P / M / G,G,"G - Busto: 116cm, Cintura:118cm, Comprimento: 71cm",,95% Poliester 5% Elastano,Sim,Zero,Lavar a mão,Preto,nan,,,Jantarzinho Chic,Festchenha,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P,P / M / G,"G: G - Busto: 116cm, Cintura:118cm, Comprimento: 71cm | P: P - Busto: 108cm, Cintura:110cm, Comprimento: 67cm  | M: M - Busto: 112cm, Cintura:114cm, Comprimento: 69cm"
Angela Motta,AM02608,,https://www.curadobia.com.br/angela-motta/produto/saruel-silvia,SARUEL SILVIA,CALÇA COOL,CALÇA SARUEL,CALÇA,Parte de Baixo,890,"Saruel de jersey com elástico na cintura. Uma peça arquitetônica, toda assimétrica com cós deslocado.",P / M / G,M,"M – Cintura: 74cm, Quadril: 104cm, Comprimento: 84cm",,95% Poliester 05% Elastano,nan,nan,nan,Preto,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / M / P,P / M / G,"M: M – Cintura: 74cm, Quadril: 104cm, Comprimento: 84cm | P: P – Cintura: 70cm, Quadril: 100cm, Comprimento: 82cm | G: G – Cintura: 78cm, Quadril: 108cm, Comprimento: 86cm"
Nauanin,BL10.037,,https://www.curadobia.com.br/nauanin/produto/blusa-molona,Blusão Maytê Sálvia,BLUSA MOLONA,BLUSA MANGA LONGA,BLUSA,Parte de Cima,340,"Blusão em malha canelado largo estonado e efeito acamurçado. Possui modelagem oversized, com gola alta e larga, mangas morcego e punho largo na manga, alem de pala no quadril para efeito blusé.",XPP / PP / P / M / G / GG,G,"G (42) – Busto: 98–102cm, Cintura alta: 81–85cm, Quadril: 108–112cm",,"80,5% Algodão 11% Poliéster 8,5% Elastano",nan,nan,nan,Verde Sálvia,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / GG / M / P / PP / XPP,XPP / PP / P / M / G / GG,"G: G (42) – Busto: 98–102cm, Cintura alta: 81–85cm, Quadril: 108–112cm | XPP: M (34) – Busto: 78-82cm, Cintura alta: 61-65cm, Quadril: 88-92cm | M: M (40) – Busto: 93–97cm, Cintura alta: 75–79cm, Quadril: 103–107cm | PP: PP (36) – Busto: 83–87cm, Cintura alta: 65–69cm, Quadril: 93–97cm | P: P (38) – Busto: 88–92cm, Cintura alta: 70–74cm, Quadril: 98–102cm | GG: GG (44) – Busto: 103–107cm, Cintura alta: 86–90cm, Quadril: 113–117cm"
Revival,BdTdcn-mcomp-T-preto,,https://www.curadobia.com.br/revival-brasil/produto/body-chiqueria,BODY DECOTE CANOA,BODY CHIQUERIA,BODY MANGA LONGA,BODY,Parte de Cima,"478,9","Body perfeito para resolver a parte de cima quando estamos com peças mais volumosas na parte de baixo. Por ser texturizado não marca a underwear e é confeccionado por uma marca especialista nesse tipo de peça. Se gostou desse, dá até para customizar o seu no site da marca.

Os bodies Revival são desenvolvidos com uma super poliamida tecnológica, feitos com o primeiro fio de nylon biodegradável do mundo! Tem proteção UV50+, toque suave na pele, não fazem bolinha, anti-odor e não precisa passar.",PP / P / M / G / GG / GGG,G,"G – Busto: 99–103cm, Cintura: 81–86cm, Quadril: 108–114cm
",,"90% poliamida | 10% elastano
forro: 87% poliamida | 13% elastano
(forro  de poliamida traz uma sensação agradável no contato com a pele por não ter a mesma textura da peça principal)",nan,nan,nan,Preto,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / GG / GGG / M / P / PP,PP / P / M / G / GG / GGG,"G: G – Busto: 99–103cm, Cintura: 81–86cm, Quadril: 108–114cm
 | GG: GG – Busto: 104–110cm, Cintura: 87–93cm, Quadril: 115–121cm | PP: PP – Busto: 79–85cm, Cintura: 59–66cm, Quadril: 87–94cm | GGG: GGG – Busto: 111–115cm, Cintura: 94–102cm, Quadril: 122–130cm
 | P: P – Busto: 86–92cm, Cintura: 67–73cm, Quadril: 95–100cm | M: M – Busto: 93–98cm, Cintura: 74–80cm, Quadril: 101–107cm"
Revival,BdTgbk-sm-T-preto,,https://www.curadobia.com.br/revival-brasil/produto/body-arrumadao,BODY GOLA BIKER,BODY ARRUMADÃO,BODY REGATA,BODY,Parte de Cima,"439,9","Gola alta e braços de fora formam uma dupla e tanto quando queremos um visual sofisticado e descomplicado. Esse body resolve a roupa quando a única coisa que precisamos é de uma parte de cima arrumadona.

Os bodies Revival são desenvolvidos com uma super poliamida tecnológica, feitos com o primeiro fio de nylon biodegradável do mundo! Tem proteção UV50+, toque suave na pele, não fazem bolinha, anti-odor e não precisa passar.",PP / P / M / G / GG / GGG,G,"G – Busto: 99–103cm, Cintura: 81–86cm, Quadril: 108–114cm",,"90% poliamida | 10% elastano
forro: 87% poliamida | 13% elastano
(forro  de poliamida traz uma sensação agradável no contato com a pele por não ter a mesma textura da peça principal)",nan,nan,nan,Preto,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / GG / GGG / M / P / PP,PP / P / M / G / GG / GGG,"G: G – Busto: 99–103cm, Cintura: 81–86cm, Quadril: 108–114cm | GG: GG – Busto: 104–110cm, Cintura: 87–93cm, Quadril: 115–121cm | PP: PP – Busto: 79–85cm, Cintura: 59–66cm, Quadril: 87–94cm | GGG: GGG – Busto: 111–115cm, Cintura: 94–102cm, Quadril: 122–130cm
 | P: P – Busto: 86–92cm, Cintura: 67–73cm, Quadril: 95–100cm | M: M – Busto: 93–98cm, Cintura: 74–80cm, Quadril: 101–107cm"
Revival,BdTvdia-sm-T-off-white,,https://www.curadobia.com.br/revival-brasil/produto/body-modernoso,BODY DECOTE V DIAGONAL,BODY MODERNOSO,BODY REGATA,BODY,Parte de Cima,"439,9","Não se trata de um body qualquer. Seu desenho cria um ar mais sofisticado para a peça sem comprometer o conforto e ainda pode ser usado com sutiã de alças básico. Tem forro, o que faz seu acabamento ficar ótimo pensando em bodies claros.

Os bodies Revival são desenvolvidos com uma super poliamida tecnológica, feitos com o primeiro fio de nylon biodegradável do mundo! Tem proteção UV50+, toque suave na pele, não fazem bolinha, anti-odor e não precisa passar.",PP / P / M / G / GG / GGG,GG,"GG – Busto: 104–110cm, Cintura: 87–93cm, Quadril: 115–121cm
",,"90% poliamida | 10% elastano
forro: 87% poliamida | 13% elastano
(forro  de poliamida traz uma sensação agradável no contato com a pele por não ter a mesma textura da peça principal)",nan,nan,nan,Off-White,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,G / GG / GGG / M / PP / p,PP / P / M / G / GG / GGG,"GG: GG – Busto: 104–110cm, Cintura: 87–93cm, Quadril: 115–121cm
 | GGG: G – Busto: 99–103cm, Cintura: 81–86cm, Quadril: 108–114cm
 | G: G – Busto: 99–103cm, Cintura: 81–86cm, Quadril: 108–114cm
 | p: P – Busto: 86–92cm, Cintura: 67–73cm, Quadril: 95–100cm
 | PP: PP – Busto: 79–85cm, Cintura: 59–66cm, Quadril: 87–94cm
 | M: M – Busto: 93–98cm, Cintura: 74–80cm, Quadril: 101–107cm"
Nauanin,CA10.004,,https://www.curadobia.com.br/nauanin/produto/calca-relax,Calça Vietnã Cacau,CALÇA RELAX,CALÇA,CALÇA,Parte de Baixo,610,"Por que está no CURADOBIA?

- Tem uma cor neutra muito combinante mas pouco comum;

- Elastico na cintura e cós largo;

- Tecido molinho e meia estação que não amassa;",34 / 36 / 38 / 40 / 42 / 44 / 46 / 48,36,"PP (36) – Busto: 83–87cm, Cintura alta: 65–69cm, Quadril: 93–97cm",,93% Viscose 7% Poliamida ( lembra um crepe pesadinho ) ,nan,nan,nan,Cacau,nan,,,nan,nan,,Média de 30 a 60 dias,2 a 5 dias úteis,5 a 15 das úteis,PAC ou SEDEX,34 / 36 / 38 / 40 / 42 / 44 / 46 / 48,34 / 36 / 38 / 40 / 42 / 44 / 46 / 48,"36: PP (36) – Busto: 83–87cm, Cintura alta: 65–69cm, Quadril: 93–97cm | 38: P (38) – Busto: 88–92cm, Cintura alta: 70–74cm, Quadril: 98–102cm | 42: G (42) – Busto: 98–102cm, Cintura alta: 81–85cm, Quadril: 108–112cm | 44: GG (44) – Busto: 103–107cm, Cintura alta: 86–90cm, Quadril: 113–117cm | 48: XXGG (48) – Busto: 113–117cm, Cintura alta: 96–100cm, Quadril: 123–127cm | 34: XPP (34) – Busto: 78–82cm, Cintura alta: 61–65cm, Quadril: 88–92cm | 40: M (40) – Busto: 93–97cm, Cintura alta: 75–79cm, Quadril: 103–107cm | 46: XGG (46) – Busto: 108–112cm, Cintura alta: 91–95cm, Quadril: 118–122cm"
