mensagem,categoria,confianca
https://revistamarieclaire.globo.com/moda/noticia/2024/08/bia-paes-de-barros-usa-expertise-em-consultoria-de-moda-e-lanca-curadoria-de-pecas-em-site-de-garimpo.ghtml?fbclid=pazxh0bgnhzw0cmteaaabtooq7rft69-14p2vewwiwwndqxvdl2mr4hkmrlgelvmjri66dz7p8__4_aem_r0ojw7surovb9xnwndzvwq,solicitacao_informacao,0.8
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.95
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
curtiu uma mensagem,reacao_emocional,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
curtiu uma mensagem,reacao_emocional,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
curtiu uma mensagem,reacao_emocional,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.85
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,nao_identificado,0.9
bia sent an attachment.,mensagem_sistema,0.9
bia sent an attachment.,nao_identificado,0.9
"toque em ""continuar"" para aceitar ou recusar o pedido.",mensagem_sistema,0.95
"toque em ""continuar"" para aceitar ou recusar o pedido.",mensagem_sistema,0.9
eu estou vendo mesmo que está demorando. mas super obrigada! bom final de semana brenda,agradecimento,0.9
olá!! como vai funcionar? onde vai ser? obrigada!!,solicitacao_informacao,0.8
curtiu uma mensagem,reacao_emocional,0.9
"gostei do conjunto, mas não vi no site",solicitacao_informacao,0.9
curtiu uma mensagem,reacao_emocional,0.9
😍 body mybasic,reacao_emocional,0.9
brenda sent an attachment.,nao_identificado,0.9
https://www.instagram.com/_nata.oficial?igsh=n204dxp5bzn6azbz,parceria_comercial,0.8
https://www.instagram.com/minimadeia/profilecard/,parceria_comercial,0.8
https://www.instagram.com/_nata.oficial/profilecard/,parceria_comercial,0.8
https://www.instagram.com/tatho.brasil/profilecard/,parceria_comercial,0.8
https://www.instagram.com/agola__/profilecard/,parceria_comercial,0.8
https://www.instagram.com/wendyelborin/profilecard/,nao_identificado,0.9
https://www.instagram.com/usemyk/profilecard/,parceria_comercial,0.8
https://www.instagram.com/minimadeia/profilecard/,parceria_comercial,0.8
caraca muito!,reacao_emocional,0.85
https://www.instagram.com/___lourie___/profilecard/,nao_identificado,0.8
https://www.instagram.com/_nata.oficial/profilecard/,parceria_comercial,0.8
curtiu uma mensagem,reacao_emocional,0.9
https://www.instagram.com/durgashop/profilecard/,parceria_comercial,0.8
https://www.instagram.com/voceamara/profilecard/,parceria_comercial,0.8
https://www.instagram.com/giom.ei/profilecard/,parceria_comercial,0.8
https://www.instagram.com/wendyelborin/profilecard/,nao_identificado,0.9
https://www.instagram.com/luiseramirezbrand/profilecard/,parceria_comercial,0.8
brenda sent an attachment.,nao_identificado,0.9
https://www.instagram.com/numerodez.numerodez/profilecard/,parceria_comercial,0.8
brenda sent an attachment.,nao_identificado,0.9
brenda sent an attachment.,nao_identificado,0.9
brenda sent an attachment.,nao_identificado,0.9
brenda sent an attachment.,nao_identificado,0.9
https://www.instagram.com/ac.gromann?igsh=mwe4dtziy2izetaxnw==,parceria_comercial,0.8
"oi bia.
sou erika dos @brincosdiferentes.  gostaria de saber como você trabalha em relação a promoção de produtos.
meus brincos são autorais e os fabrico a 39 anos. a produção é 100% nacional. fabricamos desde a liga do metal até o banho de ouro 18k.
nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro.
espero seu contato.  obrigada.",parceria_comercial,0.95
ola! muitíssimo obrigada 💋,agradecimento,0.95
👏,reacao_emocional,0.95
curtiu uma mensagem,reacao_emocional,0.9
"olá! tudo bem? teria um contato do responsável da marca ou comercial para falarmos? 
obrigada 
carol 🤍",parceria_comercial,0.8
"oiii! tudo bem? 

me chamo caroline sou formada em marketing e trabalho como social media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. 

gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. caso queria marcar uma call para falarmos mais estou por aqui. 

cel: (11) 94443-8896
e-mail: cspereiramkt@gmail.com
portfólio: https://cspereira.my.canva.site/

obrigada desde já 💖",parceria_comercial,0.8
curtiu uma mensagem,reacao_emocional,0.9
"oieee, obrigada de verdade 💖",agradecimento,0.95
cecilia sent an attachment.,mensagem_sistema,0.9
tutu. meu filho é tutu. arthur kkkk,nao_identificado,0.9
cecilia sent an attachment.,mensagem_sistema,0.9
cecilia sent an attachment.,mensagem_sistema,0.9
tô chegando!,evento_presencial,0.8
"chico neto cd maré mar 
whatsapp 11965621065
http://palcomp3.com/chiconetodaparaiba/",parceria_comercial,0.8
obaaaa,reacao_emocional,0.9
"olá, fiz uma compra com vocês. tudo certo?",rastreamento_pedido,0.9
curtiu uma mensagem,reacao_emocional,0.9
oba! ❤️,reacao_emocional,0.9
aguardo ansiosa pelos seus pisantes na curadobia,interesse_produto,0.9
curtiu uma mensagem,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
obrigada pelo convite! adorei a minha sandalia nova! ♥️,agradecimento,0.95
"ola pessoal ! tudo bem?! 

sou a lalá cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio 

estamos em sp e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. 

fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo shooting collab, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso.

o proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. 
abaixo mando mais infos.

vamos conversar sobre essas possibilidades?

fico aqui a disposição

abraços,
lalá
11 972686892",parceria_comercial,0.95
👏,reacao_emocional,0.9
e esses sapatos incríveis? teremos a chance de tê-los? rs,interesse_produto,0.9
"obrigada pelo retorno!
namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",reposicao_estoque,0.9
👏,reacao_emocional,0.9
boa tarde!! fiz um pedido de uma blusa brilhei no dia 13/01. não recebi nenhum e-mail de confirmação. será que está tudo certo? meu nome é cristiane rocha loures brenner.,rastreamento_pedido,0.95
ok! obrigada. vi que foi lançado no meu cartão de crédito.,confirmacao,0.9
olá!! obrigada. qual a previsão de entrega?,rastreamento_pedido,0.9
"como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. compro bastante on-line e sempre vem o e-mail do status do pedido!! o cliente fica mais seguro da compra.",rastreamento_pedido,0.9
ok!! entendi. obrigada pelo retorno. um abraço,agradecimento,0.9
linda gladiadora!,reacao_emocional,0.9
"estou tentando contato para devolução de mercadoria e ninguém me atende! nem por whatsapp e nem e-mail. comprei um vestido que quero devolver. 
como devo proceder?
cristina hees 
11 970499507",troca_devolucao,0.98
ok,confirmacao,0.9
falamos por lá,solicitacao_contato,0.8
"bom dia! ontem tive o prazer de conhecer vc ao vivo! eu estava no mil plantas! 
vc e lindíssima! ❤️",evento_presencial,0.9
curtiu uma mensagem,reacao_emocional,0.9
bia gosto muito das suas bolsas . poderia passar umas dicas ?? não encontrei no seu site …,solicitacao_informacao,0.9
😍,reacao_emocional,0.95
😍,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
olá! como tirar dúvidas de tamanho da peça?,duvida_produto,0.95
"olá, boa noite",saudacao,0.95
gostaria de saber o tamanho da cintura dessa calça no tamanho m,duvida_produto,0.95
maravilha!,reacao_emocional,0.9
mto obrigada msm,agradecimento,0.95
oieee,saudacao,0.95
bom dia,saudacao,0.95
"caso não fique com, como funciona a troca?",troca_devolucao,0.95
ahhh maravilha,reacao_emocional,0.9
mto obrigada,agradecimento,0.95
ainda hj vou efetuar a compra da calça,interesse_produto,0.9
"olá, boa tarde",saudacao,0.95
preciso de uma ajudinha com o meu pedido,rastreamento_pedido,0.75
olá,saudacao,0.95
"olá , bom dia",saudacao,0.95
eu comprei a calça pantalona branca no dia 13/08,rastreamento_pedido,0.9
e ainda não chegou,rastreamento_pedido,0.95
vc consegue rastrear o meu pedido?,rastreamento_pedido,0.95
aiiiin que pena,reacao_emocional,0.9
eu queria usar nas fotos que irei fazer amanhã,interesse_produto,0.8
olá!!,saudacao,0.95
meu pedido chegou hj!!,rastreamento_pedido,0.9
"mas, ficou grande😫",troca_devolucao,0.9
como é o processo da troca?,troca_devolucao,0.95
olá bom dia,saudacao,0.9
td bem?,saudacao,0.9
"sobre a troca da calça que comprei (quero trocar por um tamanho menor). recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",troca_devolucao,0.9
conseguem me ajudar por aqui?,solicitacao_contato,0.9
oie,saudacao,0.95
mto obrigada pelo retorno,agradecimento,0.95
curtiu uma mensagem,reacao_emocional,0.9
oiee! bom dia,saudacao,0.95
"sim! a carol entrou em contato comigo! uma fofa , super atenciosa",agradecimento,0.9
mto obrigada msm,agradecimento,0.95
curtiu uma mensagem,reacao_emocional,0.9
vou seguir.,confirmacao,0.8
denize sent an attachment.,mensagem_sistema,0.9
"bom dia! gostaria de adquirir essa calça, mas não está mais disponível. 
podem me ajudar?
obrigada",reposicao_estoque,0.9
obrigada!,agradecimento,0.95
bom dia. gostei da calça. vai ter no site? obrigada,reposicao_estoque,0.9
que honra 😍😍😍,reacao_emocional,0.95
já comprei 3 peças da curadobia,nao_identificado,0.8
amando ♥️♥️♥️,reacao_emocional,0.9
curtiu uma mensagem,reacao_emocional,0.9
"muito obrigada, elas entraram em contato comigo. realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",reacao_emocional,0.8
curtiu uma mensagem,mensagem_sistema,0.9
due sent an attachment.,mensagem_sistema,0.9
"oi! tudo certinho por aí? 💚

somos a ēcru e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru!

nossos principais produtos são:
💚 necessaire
💚 saquinhos 
💚 ecobags

nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! 

posso te enviar mais informações pelo e-mail ou whatsapp?

ah! também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!",parceria_comercial,0.95
boa noite.,saudacao,0.95
"estou com duvidas sobre o tamanho da saia unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_produto,0.95
ok,confirmacao,0.9
obrigada,agradecimento,0.95
bom dia,saudacao,0.95
entrar em contato com a luciana nossa gerente comercial no email gerencia@elisaatheniense.com.br,parceria_comercial,0.8
por nada!,agradecimento,0.9
"oi bia, tudo bem? adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! não localizei tabela de medidas! porem, pelo tamanho das peças que vc veste o g provavelmente não vai caber em mim! uso 46/48, a depender da confecção! pense com carinho em fazer uma curadoria para tamanhos normais! desejo muito sucesso nessa nova empreitada! que deus te abençoe! bjos!",duvida_produto,0.95
obrigada! beijinhos,agradecimento,0.95
oiiii tudo bem?,saudacao,0.95
quanto tá essa blusa?,solicitacao_informacao,0.9
obrigada,agradecimento,0.95
"olá curadobia, tudo bem?

agradecemos o interesse pela marca.

para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais  informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. 

nossa equipe de marketing é especializada nesse assunto. dessa forma, tenho certeza de que eles avaliarão  e, se houver interesse, entrarão em contato prontamente.

fique à vontade para entrar em contato caso tenha alguma dúvida. estamos aqui para ajudar.",parceria_comercial,0.9
"olá  bia!

te vi no post da teti gio

amei o seu perfil

eu tenho uma marca de joias autorais, com design minimalista e ouro sustentável

adoraria te apresentar @eunoyah_jewelry

também gostaria de conversar sobre divulgacao, se houver interesse, claro :)

muito obrigada 

um abraço 
evelyn",parceria_comercial,0.9
ambos :),confirmacao,0.8
bom dia!,saudacao,0.9
como posso fazer essa apresentacao?,solicitacao_informacao,0.8
obrigada pelo retorno,agradecimento,0.95
"obrigada ;)
enviarei!",agradecimento,0.9
boa tarde. gostaria de saber se vocês enviam para fora do brasil. obrigada.,solicitacao_informacao,0.9
reagiu com 😢 à sua mensagem,reacao_emocional,0.95
obrigada. no aguardo que seja disponibilizado o envio.,agradecimento,0.85
"olá! primeiramente quero dizer que a curadobia está fantástica!

vi que vários produtos estão indisponíveis no site, como a blusa pah e phyna por exemplo

tem alguma previsão de retorno ao estoque?",reposicao_estoque,0.95
reagiu com 💜 à sua mensagem,reacao_emocional,0.9
"obrigada pelo retorno! vou acompanhar, então. beijo beijo 💋 💋",agradecimento,0.9
🥰,reacao_emocional,0.9
oi boa tarde,saudacao,0.95
adquiri uma máxi pantalona valéria mansur,nao_identificado,0.8
p,nao_identificado,0.8
ficou enorme,troca_devolucao,0.8
como proceder p troca?,troca_devolucao,0.95
até agora nada!,rastreamento_pedido,0.8
"eu sugiro q vcs verifiquem melhor as parcerias de fornecedores, pois não comprarei mais nesta curadoria! 
infelizmente,  gosto mto do trabalho da bia… mas assim inviabiliza!",nao_identificado,0.85
reagiu com 👍 à sua mensagem,reacao_emocional,0.9
já respondi! sim no wzap,confirmacao,0.9
"oiee tudo bem? amei a bota, tem curadoria dela? bjos",duvida_produto,0.9
uhuu,reacao_emocional,0.9
você é linda e de uma delicadeza admirável,agradecimento,0.9
"oi ana a marcia fonseca esta em contato com vc, ne? vamos conversar sim, a fernanda tem mto interesse",solicitacao_contato,0.8
onde posso comprar?,solicitacao_informacao,0.9
olá,saudacao,0.95
como falo com alguém daí,solicitacao_contato,0.9
comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,rastreamento_pedido,0.9
mas a peça ainda não chegou,rastreamento_pedido,0.95
era pra ter chegado ontem,rastreamento_pedido,0.95
com quem falo b,solicitacao_informacao,0.8
???,nao_identificado,0.8
chegou,rastreamento_pedido,0.9
mas paguei por uma coisa que não recebi,troca_devolucao,0.95
então era pra ter pago menos a meu ver,nao_identificado,0.85
e achei muito difícil o contato com vcs,solicitacao_contato,0.85
não tem um link de comunicação no whatsapp,solicitacao_informacao,0.9
no e-mail da nota fiscal não tem nada,solicitacao_informacao,0.8
precisei escrever em uma postagem,nao_identificado,0.8
"enfim , por muito pouco não me atende",nao_identificado,0.8
paguei sedex porque estou indo hoje pra londres e queria levar o body,rastreamento_pedido,0.9
e o body me chega hoje,rastreamento_pedido,0.9
muito tenso,reacao_emocional,0.9
por muito pouco a minha frustração seria ainda maior,reacao_emocional,0.8
"o produto é lindo , apesar de ter ficando um pouco grande",troca_devolucao,0.9
mas a experiência de compra não foi legal,problema_tecnico,0.85
"de  todo modo , agradeço por perguntar",agradecimento,0.9
tudo bem,saudacao,0.9
"não vou trocar , vou tentar reduzir o gancho",troca_devolucao,0.95
curtiu uma mensagem,reacao_emocional,0.9
não estou conseguindo entrar no site para fazer compra,problema_tecnico,0.95
oie,saudacao,0.9
chama no mkt@gammba.com,parceria_comercial,0.9
"bom dia! sou a gianina marques, mineira, mãe e autora de joias artesanais. gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. aguardo o retorno de vcs q tem tanto conhecimento na área. desde já obrigada! @gianinamarques",parceria_comercial,0.9
